Course Name,Tamil,Gujarati,Malayalam,Hindi,Telugu,Bengali,Kannada,Marathi,English,Assamese,Punjabi
introduction to classical mechanics,,,,,,,,,176.pdf,,
introduction to cryptology,,,,,,,,,525.pdf,,
introduction to data analytics,,,,,,,,,278.pdf,,
introduction to developmental biology,,,,,,,,,498.pdf,,
introduction to electromagnetic theory,110.pdf,26.pdf,68.pdf,164.pdf,27.pdf,72.pdf,90.pdf,2.pdf,189.pdf,,
introduction to embedded system design,,,,,,,,,264.pdf,,
introduction to environmental economics,,,,,,,,,142.pdf,,
introduction to evolutionary dynamics,,,,,,,,,491.pdf,,
introduction to experiments in flight,,,,,,,,,356.pdf,,
introduction to film studies,,,,,,,,,227.pdf,,
introduction to fluid mechanics,127.pdf,52.pdf,69.pdf,165.pdf,17.pdf,4.pdf,47.pdf,,349.pdf,,
"introduction to fuzzy set theory, arithmetic and logic",,,,,,,,,188.pdf,,
introduction to geographic information systems,,,,101.pdf,,,,,411.pdf,,
introduction to history of architecture in india,,,,,,,,,90.pdf,,
introduction to industry 4.0 and industrial internet of things,36.pdf,44.pdf,21.pdf,161.pdf,18.pdf,82.pdf,64.pdf,7.pdf,60.pdf,,
introduction to internet of things,68.pdf,,87.pdf,69.pdf,,11.pdf,86.pdf,,,,
introduction to japanese language and culture,,,,,,,,,415.pdf,,
introduction to launch vehicle analysis and design,,,,,,,,,15.pdf,,
introduction to literary theory,,,,,,,,,243.pdf,,
introduction to machine learning,,,,,,,,,453.pdf,,
introduction to mechanical vibration,,,,,,,,,195.pdf,,
introduction to mechanobiology,,,1.pdf,70.pdf,,,,,,,
introduction to methods of applied mathematics,,,,,,,,,115.pdf,,
introduction to mineral processing,30.pdf,,,,1.pdf,,,,,,
introduction to nonlinear dynamics,,,,,,,,,274.pdf,,
introduction to operating systems,131.pdf,57.pdf,7.pdf,,78.pdf,,9.pdf,60.pdf,,,
introduction to operations research,20.pdf,,,10.pdf,98.pdf,,,,509.pdf,,
introduction to photonics,,,,,,,,,291.pdf,,
"introduction to political ideologies : contexts, ideas, and practices",,,,,,,,,208.pdf,,
introduction to polymer physics,,,,,,,,,476.pdf,,
introduction to probability and statistics,,,,,,,,,12.pdf,,
introduction to probability theory and stochastic processes,,,,,,,,,123.pdf,,
introduction to process modeling in membrane separation process,,,,,,,,,546.pdf,,
introduction to programming in c,109.pdf,3.pdf,73.pdf,14.pdf,,20.pdf,84.pdf,71.pdf,269.pdf,,
introduction to proteomics,,,,,,,,,541.pdf,,
introduction to psychology,71.pdf,,92.pdf,32.pdf,,,,32.pdf,,,
introduction to r software,,,,,,,,,271.pdf,,
introduction to reciprocal space,,,,,,,,,259.pdf,,
introduction to research,41.pdf,108.pdf,11.pdf,80.pdf,87.pdf,81.pdf,63.pdf,19.pdf,,,
introduction to rings and fields,101.pdf,55.pdf,76.pdf,23.pdf,93.pdf,43.pdf,50.pdf,,234.pdf,,
introduction to robotics,,,,,,,,,79.pdf,,
introduction to smart grid,,,0.pdf,,,,,,81.pdf,,
introduction to soft computing,,71.pdf,,,,,,,139.pdf,,
introduction to soft matter,,,,,,,,,297.pdf,,
introduction to statistical hypothesis testing,,,,,,,,,438.pdf,,
introduction to stochastic processes,,,,,,,,,239.pdf,,
introduction to system dynamics modeling,,,,,,,,,94.pdf,,
introduction to the psychology of language,,,,,,,,,107.pdf,,
introduction to time-frequency analysis and wavelet transforms,,,,,,,,,457.pdf,,
introduction to western political thought,,,,,,,,,20.pdf,,
introduction to wireless and cellular communications,151.pdf,,14.pdf,118.pdf,,17.pdf,,,,,
introductory organic chemistry,102.pdf,,,,,,,,,,
introductory organic chemistry - i,,68.pdf,,54.pdf,,,,,,,
introductory quantum mechanics,103.pdf,43.pdf,97.pdf,180.pdf,45.pdf,32.pdf,37.pdf,,,,
ironmaking and steelmaking,,,,,,,,,296.pdf,,
issues in bioethics,,,,,,,,,35.pdf,,
knowledge management,,,,35.pdf,,,,,,,
language and mind,119.pdf,1.pdf,45.pdf,61.pdf,,28.pdf,69.pdf,46.pdf,342.pdf,,
language and society,,,,,,,,,539.pdf,,
linear dynamical systems,,,,,,,,,202.pdf,,
linear regression analysis and forecasting,,,,,,,,,362.pdf,,
linear system theory,,,,,,,,,463.pdf,,
literary theory and literary criticism,,,,,,,,,244.pdf,,
"machine learning, ml",,,51.pdf,,,,,,,,
machining science,,,,,,,,,514.pdf,,
maintenance and repair of concrete structures,,,,,,,,,327.pdf,,
management accounting,69.pdf,,,184.pdf,,,,14.pdf,,,
management information system,,,,,,,,,50.pdf,,
management of field sales,,,,,,,,,536.pdf,,
managerial skills for interpersonal dynamics,,,,,,,,,309.pdf,,
managing intellectual property in universities,142.pdf,28.pdf,74.pdf,34.pdf,19.pdf,53.pdf,1.pdf,37.pdf,125.pdf,,
managing services,42.pdf,6.pdf,38.pdf,75.pdf,97.pdf,89.pdf,28.pdf,,,,
manufacturing automation,,,,,,,,,220.pdf,,
manufacturing of composites,,,,,,,,,175.pdf,,
manufacturing process technology - ii,,,,,,,,,474.pdf,,
manufacturing process technology -part i,,,,,,,,,454.pdf,,
manufacturing processes - casting and joining,,,,,,,,,275.pdf,,
manufacturing systems technology part i,,9.pdf,,96.pdf,,,,,105.pdf,,
manufacturing systems technology part ii,29.pdf,85.pdf,94.pdf,49.pdf,69.pdf,77.pdf,25.pdf,84.pdf,23.pdf,,
marketing management-i,104.pdf,,,170.pdf,,,,,,,
marketing research and analysis,,,,77.pdf,,,,,108.pdf,,
mass transfer operations ii,,,,,,,,,335.pdf,,
material and energy balances,,,,,,,,,408.pdf,,
material characterization,,,,,,,,,295.pdf,,
mathematical portfolio theory,,,,,,,,,147.pdf,,
matlab programming for numerical computation,137.pdf,87.pdf,2.pdf,83.pdf,92.pdf,23.pdf,58.pdf,36.pdf,325.pdf,,
matrix analysis with applications,,,,,,,,,482.pdf,,
mcdm techniques using r,,72.pdf,,39.pdf,,,,,170.pdf,,
measure theory,,,,,,,,,542.pdf,,
mechanical characterization of bituminous materials,,,,,,,,,532.pdf,,
mechanical measurement systems,,,,,,,,,48.pdf,,
mechanical operations,,,,,,,,,512.pdf,,
mechanical unit operations,,,,,,,,,467.pdf,,
mechanics of solids,,,,,,,,,372.pdf,,
mechanisms in organic chemistry,144.pdf,,,150.pdf,,,,,27.pdf,,
metal mediated synthesis-i,,,,,,,,,531.pdf,,
metals in biology,130.pdf,94.pdf,,52.pdf,,,,,402.pdf,,
microelectronics: devices to circuits,,,,,,,,,29.pdf,,
microprocessors and microcontrollers,107.pdf,82.pdf,34.pdf,91.pdf,3.pdf,7.pdf,52.pdf,88.pdf,,,
microwave integrated circuits,143.pdf,,,106.pdf,,,,69.pdf,377.pdf,,
microwave theory and techniques,52.pdf,,,73.pdf,5.pdf,,,,,,
"mineral resources: geology, exploration, economics and environment",,,,28.pdf,,,,,,,
model checking,,,,,,,,,347.pdf,,
modeling and simulation of discrete event systems,,,,,,,,,338.pdf,,
modeling of tundish steelmaking process in continuous casting,,,,,,,,,56.pdf,,
modelling and analytics for supply chain management,,,,,,,,,91.pdf,,
modern algebra,,,,88.pdf,,,,,371.pdf,,
modern construction materials,,,,,,,,,428.pdf,,
modern indian art from the colonial period to the present,,,,,,,,,494.pdf,,
modern indian writing in translation,,,,,,,,,329.pdf,,
muffler acoustics ? application to automotive exhaust noise control,,,,,,,,,333.pdf,,
multicore computer architecture-storage and interconnects,,,,,,,,,25.pdf,,
multirate dsp,62.pdf,,,157.pdf,,,,,,,
multivariable calculus,,,,,,,,,106.pdf,,
nanotechnology - science and applications,120.pdf,,,,26.pdf,6.pdf,77.pdf,,,,
nanotechnology in agriculture,,,,,,,,,174.pdf,,
natural hazards - part 1,1.pdf,,,,,,,,,,
natural language processing,95.pdf,,,148.pdf,,,,,141.pdf,,
network analysis for mines and mineral engineering,,,,,,,,,257.pdf,,
neuroscience of human movement,,,,,,,,,65.pdf,,
noc:experimental stress analysis: an overview,,,,,,,,,426.pdf,,
noc:hse for offshore and petroleum engineers-practices,,,,,,,,,218.pdf,,
"non traditional abrasive machining processes- ultrasonic, abrasive jet and abrasive water jet machining",,,,,,,,,369.pdf,,
non-conventional energy resources,,58.pdf,96.pdf,41.pdf,70.pdf,66.pdf,8.pdf,26.pdf,249.pdf,,
nonlinear and adaptive control,133.pdf,,,6.pdf,14.pdf,,82.pdf,,430.pdf,,
nonlinear programming,,,,,,,,,63.pdf,,
nonlinear system analysis,,,,,,,,,109.pdf,,
numerical analysis,,,,,,,,,229.pdf,,
numerical methods,,,,,,,,,32.pdf,,
numerical methods and programing,,,,,,,,,128.pdf,,
object oriented analysis and design,,,,27.pdf,60.pdf,,,,,,
"object oriented system development using uml, java and patterns",,,,,,,,,159.pdf,,
object-oriented analysis and design,49.pdf,,91.pdf,,,14.pdf,24.pdf,17.pdf,97.pdf,,
one and two dimensional nmr spectroscopy for chemists,,,,,,,,,219.pdf,,
"op-amp practical applications: design, simulation and implementation",93.pdf,,27.pdf,66.pdf,,,,,475.pdf,,
operating system fundamentals,115.pdf,,,123.pdf,,,,,93.pdf,,
operations and supply chain management,,,,144.pdf,,,,,210.pdf,,
operations management,,,,,,,,,343.pdf,,
operations research,,,,,,,,,483.pdf,,
optical communications,74.pdf,,,,,,,,28.pdf,,
optical engineering,,,,,,,,,301.pdf,,
optical sensors,,,,,,,,,445.pdf,,
optical spectroscopy and microscopy : fundamentals of optical measurements and instrumentation,,,,,,,,,280.pdf,,
organic chemistry in biology and drug development,,,,,,,,,462.pdf,,
organization development and change in 21st century,,,,,,,,,533.pdf,,
organizational behaviour,,,,,,,,,207.pdf,,
organo metallic chemistry,,,,,,,,,75.pdf,,
outcome based pedagogic principles for effective teaching,146.pdf,,,,,,,,136.pdf,,
patent drafting for beginners,66.pdf,,,,,,,,,,
patent law for engineers and scientists,96.pdf,,,127.pdf,,,,,,,
patent search for engineers and lawyers,,,,,,,,,403.pdf,,
path integral and functional methods in quantum field theory,,,,,,,,,513.pdf,,
pattern recognition and application,,,,,,,,,54.pdf,,
peer to peer networks,,,,,,,,,544.pdf,,
phase equilibrium thermodynamics,,,,,,,,,68.pdf,,
photogeology in terrain evaluation (part 1),,,,,,,,80.pdf,47.pdf,,
photogeology in terrain evaluation (part 2),,,,,72.pdf,,,,,,
physics of biological systems,,,,,,,,,46.pdf,,
physics of materials,,,,,,,,,17.pdf,,
physics of turbulence,,,,,,,,,250.pdf,,
plant cell bioprocessing,,,,,,,,,317.pdf,,
plant developmental biology,55.pdf,,,21.pdf,,,,,,,
plastic waste management,,,,,,,,,30.pdf,,
poetry,,,,,,,,,168.pdf,,
polymer reaction engineering,,,,,,,,,246.pdf,,
postcolonial literature,,,8.pdf,138.pdf,,,23.pdf,,6.pdf,,
power electronics,118.pdf,,,,,,,,,,
power plant engineering,,,,,,,,,245.pdf,,
power quality improvement technique,,,,,,,,,276.pdf,,
power system analysis,99.pdf,,,,91.pdf,57.pdf,,,,,
power system engineering,3.pdf,74.pdf,,139.pdf,86.pdf,,89.pdf,3.pdf,116.pdf,,
"practitioners course in descriptive, predictive and prescriptive analytics",,,,,,,,,103.pdf,,
principles and applications of building science,,,,128.pdf,,,,,425.pdf,,
principles and applications of nmr spectroscopy,,,,,,,,,382.pdf,,
principles and techniques of modern radar systems,,,,,,,,,395.pdf,,
principles of casting technology,,,,,,,,,286.pdf,,
principles of communication systems - part 1,,,,,,,,,381.pdf,,
principles of construction management,106.pdf,,,,,,,,,,
principles of digital communications,,,,,,,,,364.pdf,,
principles of human resource management,141.pdf,,15.pdf,,43.pdf,56.pdf,,,,,
principles of hydraulic machines and system design,,,,,,,,,216.pdf,,
principles of management,,,,,,,,,149.pdf,,
principles of mechanical measurement,,,,,,,,,132.pdf,,
principles of metal forming technology,,,,,,,,,209.pdf,,
principles of modern cdma/ mimo/ ofdm wireless communications,,,,,,,,,133.pdf,,
principles of organic synthesis,,,,,,,,,351.pdf,,
principles of signals and systems,,11.pdf,86.pdf,,68.pdf,10.pdf,87.pdf,75.pdf,526.pdf,,
principles of vibration control,,,,,,,,,1.pdf,,
privacy and security in online social media,58.pdf,35.pdf,43.pdf,147.pdf,44.pdf,,57.pdf,29.pdf,224.pdf,,
probability and stochastics for finance,,,,,,,,,86.pdf,,
processing of polymers and polymer composites,,,,,,,,,529.pdf,,
product design and development,85.pdf,36.pdf,82.pdf,,94.pdf,,32.pdf,72.pdf,69.pdf,,
product design and manufacturing,,,,,,,,,279.pdf,,
product design using value engineering,,,,,,,,,375.pdf,,
programming data structures and algorithms,,,,,,,,,478.pdf,,
programming in c++,64.pdf,,104.pdf,29.pdf,,54.pdf,27.pdf,10.pdf,520.pdf,,
programming in java,,,,,,,,,38.pdf,,
"programming, data structures and algorithms",11.pdf,67.pdf,26.pdf,,30.pdf,75.pdf,3.pdf,70.pdf,,0.pdf,
"programming, data structures and algorithms using python",123.pdf,,106.pdf,172.pdf,,39.pdf,21.pdf,,323.pdf,,
project management,79.pdf,,42.pdf,12.pdf,99.pdf,27.pdf,51.pdf,87.pdf,412.pdf,,
project planning & control,,,,82.pdf,,,,,394.pdf,,
psychology of everyday,124.pdf,105.pdf,47.pdf,159.pdf,21.pdf,65.pdf,11.pdf,42.pdf,102.pdf,,0.pdf
qualitative research methods,,,,,,,,,256.pdf,,
quality design and control,,,,,,,,,332.pdf,,
quantitative finance,,,,,,,,,251.pdf,,
quantitative methods in chemistry,,,,,,,,,337.pdf,,
rac product design,,92.pdf,,,,,,,346.pdf,,
rapid manufacturing,67.pdf,50.pdf,,64.pdf,,62.pdf,56.pdf,,13.pdf,,
reactive intermediates carbene and nitrene,,,,68.pdf,,,,,163.pdf,,
reagents in organic synthesis,,,,,,,,,242.pdf,,
real analysis i,,,,,,,,,534.pdf,,
real time operating system,70.pdf,29.pdf,5.pdf,15.pdf,24.pdf,40.pdf,20.pdf,15.pdf,,,
recent advances in transmission insulators,138.pdf,,,53.pdf,50.pdf,,,,,,
regulatory requirements for medical devices,,,,,,,,,160.pdf,,
remote sensing and gis,,93.pdf,,,,,,,,,
riemann hypothesis and its applications,,,,,,,,,74.pdf,,
right to information and good governance,,,,,,,,,179.pdf,,
roadmap for patent creation,,,,,,,,,194.pdf,,
robotics,,,,163.pdf,,,,,517.pdf,,
robotics and control : theory and practice,,,,,,,,,70.pdf,,
robotics: basics and selected advanced concepts,,,,,,,,,146.pdf,,
rock engineering,,,,,,,,,96.pdf,,
safety in construction,,,,,,,,,124.pdf,,
satellite communication systems,,,,,,,,,330.pdf,,
scalable data science,,,,,,,,,331.pdf,,
scheduling techniques in projects,,,,,,,70.pdf,,294.pdf,,
science and technology of weft and warp knitting,,,,,,,,,150.pdf,,
semiconductor devices and circuits,,,,,13.pdf,73.pdf,42.pdf,,299.pdf,,
sensors and actuators,18.pdf,32.pdf,,131.pdf,20.pdf,,,,,,
"services marketing : integrating people, technology, strategy",,,,,,,,,277.pdf,,
services marketing: a practical approach,,42.pdf,19.pdf,162.pdf,6.pdf,31.pdf,61.pdf,45.pdf,36.pdf,,
short fiction in indian literature,10.pdf,,,134.pdf,,,,,16.pdf,,
smart materials and intelligent system design,,,,,,,,,0.pdf,,
social networks,,,,,,,,,472.pdf,,
sociology of science,33.pdf,,,,,,,86.pdf,144.pdf,,
soft nano technology,,,,,,,,,158.pdf,,
soft skill development,50.pdf,91.pdf,93.pdf,120.pdf,66.pdf,,,23.pdf,,,
soft skills,134.pdf,,31.pdf,,,,,,77.pdf,,
software engineering,80.pdf,,,,,,,,519.pdf,,
software project management,112.pdf,107.pdf,49.pdf,142.pdf,31.pdf,78.pdf,83.pdf,22.pdf,,,
software testing,39.pdf,77.pdf,18.pdf,167.pdf,16.pdf,87.pdf,,55.pdf,456.pdf,,
soil structure interaction,,,,,,,,,300.pdf,,
"solar photovoltaics fundamentals, technology and applications",,,,,,,,,406.pdf,,
solid mechanics,,,,,,,,,540.pdf,,
solid state devices,,,,,,,,,379.pdf,,
solid state physics,,,,,,,,,413.pdf,,
speaking effectively,,,,,,,,,495.pdf,,
spread spectrum communications and jamming,,,,,,,,,119.pdf,,
statistical signal processing,,,,,,,,,499.pdf,,
steam and gas power systems,,,,,,,,,477.pdf,,
steam power engineering,,,,,,,,,320.pdf,,
stereochemistry,54.pdf,10.pdf,66.pdf,5.pdf,89.pdf,16.pdf,,78.pdf,,,
stochastic processes - 1,,,,,,,,,427.pdf,,
strategic communication for sustainable development,,,,,,,,,153.pdf,,
strength of materials,,,,,101.pdf,,,,,,
stress management,,,,98.pdf,88.pdf,,,,,,
structural analysis of nanomaterials,,,,,,,,,177.pdf,,
structural dynamics for civil engineers - sdof systems,149.pdf,63.pdf,109.pdf,181.pdf,51.pdf,69.pdf,10.pdf,61.pdf,,,
structural system in architecture,,,,,,,,,305.pdf,,
"structure, form and architecture : the synergy",,,,,,,,,8.pdf,,
supply chain analytics,,,,,,,,,67.pdf,,
surface engineering of nanomaterials,,,,,,,,,391.pdf,,
sustainability through green manufacturing systems: an applied approach,,,,,,,,,152.pdf,,
sustainable architecture,,,,,,,,,469.pdf,,
switching circuits and logic design,117.pdf,,,122.pdf,12.pdf,,,,,,
"symmetry, stereochemistry and applications",,,,,,,,,510.pdf,,
system design for sustainability,,,,,,,,,399.pdf,,
systems engineering: theory & practice,,,,,,,,,434.pdf,,
tale 2: course design and instruction of engineering course,100.pdf,53.pdf,102.pdf,182.pdf,42.pdf,,,,,,
talent acquisition and management,,,,,,,,,55.pdf,,
teaching and learning in engineering (tale),32.pdf,79.pdf,75.pdf,24.pdf,52.pdf,86.pdf,,28.pdf,,,
teaching and learning in general programs - talg,37.pdf,,,37.pdf,,,,,,,
technical english for engineers,14.pdf,,,,,35.pdf,33.pdf,,,,
technical textiles,,,,,,,,,433.pdf,,
technologies for clean and renewable energy production,,27.pdf,,,,,,,71.pdf,,
technology forecasting for strategic decision making - an introduction,,,,,,,,,503.pdf,,
testing of functional and technical textiles,,,,,,,,,221.pdf,,
"text,textuality and digital media",129.pdf,,,176.pdf,,,,,155.pdf,,
textile finishing,,,,,,,,,289.pdf,,
textured yarn technology,,,,,,,,,212.pdf,,
the future of manufacturing business: role of additive manufacturing,,,,,,,,,367.pdf,,
the joy of computing using python,77.pdf,,77.pdf,81.pdf,,37.pdf,36.pdf,33.pdf,213.pdf,,
the renaissance and shakespeare,,,,,,,,,326.pdf,,
theory and practice of non destructive testing,,,,140.pdf,,,,,385.pdf,,
thermal operations in food process engineering: theory and applications,,,,,,,,,363.pdf,,
thermo-mechanical and thermo-chemical processes,,,,,,,,,24.pdf,,
thermodynamics,,,,,,,,,230.pdf,,
thermodynamics for biological systems : classical and statistical aspect,,,,,,,,,178.pdf,,
time value of money concepts and calculations,,,,,,,,,470.pdf,,
tissue engineering,,,,,,,,,485.pdf,,
total quality management - i,,,,,,,,,500.pdf,,
towards an ethical digital society: from theory to practice,,,,,,,,,268.pdf,,
training of trainers,47.pdf,,57.pdf,0.pdf,,,15.pdf,,72.pdf,,
transform calculus and its applications in differential equations,16.pdf,,,,46.pdf,,,,,,
transition metal organometallic chemistry: principles to applications,,,,,,,,,118.pdf,,
transition metal organometallics in catalysis and biology,,,,,,,,,99.pdf,,
transmission lines and electromagnetic waves.,,,,,,,,,37.pdf,,
transport phenomena,28.pdf,90.pdf,,45.pdf,4.pdf,,,62.pdf,354.pdf,,
transport phenomena in biological systems,,,,,,,,,358.pdf,,
twentieth century fiction,,,,,,,,,404.pdf,,
two phase flow and heat transfer,,,,143.pdf,,,,,,,
uav design - part ii,,,,,,,,,449.pdf,,
understanding design,,,,,,,,,298.pdf,,
understanding design thinking & people centred design,,,,,,,,,442.pdf,,
understanding ethnography,,,,,,,,,41.pdf,,
unit operations of particulate matter,,,,,,,,,486.pdf,,
unsaturated soil mechanics,,,,,,,,,7.pdf,,
user interface design,,,,,,,,,204.pdf,,
variational calculus and its applications in control theory and nanomechanics,,,,,,,,,52.pdf,,
visual perception and art: a survey across the cultures,,,,38.pdf,,,,,490.pdf,,
vlsi physical design,113.pdf,30.pdf,63.pdf,11.pdf,84.pdf,,,49.pdf,352.pdf,,
vlsi technology,,,,,,,,,53.pdf,,
"water, society and sustainability",,,,,,,,,254.pdf,,
waves and oscillations,126.pdf,,54.pdf,99.pdf,28.pdf,58.pdf,16.pdf,43.pdf,,,
welding of advanced high strength steels for automotive applications,,,,,,,,,290.pdf,,
wheeled mobile robots,,,,,,,,,187.pdf,,
work system design,,,,,,,,,61.pdf,,
working capital management,31.pdf,,,,,,,,,,
x-ray crystallography & diffraction,,,,,,,,,360.pdf,,
